               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1233,            0.030344,                   0,                   0,                   0,                   0,                   0,                   0,            0.023425,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.11198,            0.030111,                   0,                   0,                   0,                   0,                   0,                   0,            0.022866,                   0,            0.097299,          0.00029901,          0.00029901
                   2,             0.11505,             0.02998,                   0,                   0,                   0,                   0,                   0,                   0,            0.022139,                   0,            0.095497,           0.0004967,           0.0004967
                   3,             0.11067,            0.031135,                   0,                   0,                   0,                   0,                   0,                   0,            0.021277,                   0,            0.093693,          0.00069307,          0.00069307
                   4,            0.099672,            0.029633,                   0,                   0,                   0,                   0,                   0,                   0,            0.020341,                   0,            0.091888,          0.00088812,          0.00088812
                   5,            0.098432,            0.029003,                   0,                   0,                   0,                   0,                   0,                   0,            0.019389,                   0,            0.090082,           0.0010819,           0.0010819
                   6,            0.094225,            0.032389,                   0,                   0,                   0,                   0,                   0,                   0,            0.018446,                   0,            0.088274,           0.0012743,           0.0012743
                   7,            0.094288,            0.029704,                   0,                   0,                   0,                   0,                   0,                   0,            0.017497,                   0,            0.086465,           0.0014653,           0.0014653
                   8,            0.085511,            0.026204,                   0,                   0,                   0,                   0,                   0,                   0,            0.016921,                   0,            0.084655,           0.0016551,           0.0016551
                   9,            0.067375,             0.02462,                   0,                   0,                   0,                   0,                   0,                   0,             0.01628,                   0,            0.082844,           0.0018436,           0.0018436
                  10,            0.087574,             0.02978,                   0,                   0,                   0,                   0,                   0,                   0,            0.015714,                   0,            0.081031,           0.0020307,           0.0020307
                  11,            0.065502,            0.028175,                   0,                   0,                   0,                   0,                   0,                   0,            0.015093,                   0,            0.079217,           0.0022165,           0.0022165
                  12,            0.080563,             0.02874,                   0,                   0,                   0,                   0,                   0,                   0,            0.014519,                   0,            0.077401,            0.002401,            0.002401
                  13,            0.081553,            0.027901,                   0,                   0,                   0,                   0,                   0,                   0,            0.013917,                   0,            0.075584,           0.0025842,           0.0025842
                  14,            0.085071,            0.032342,                   0,                   0,                   0,                   0,                   0,                   0,            0.013217,                   0,            0.073766,            0.002766,            0.002766
                  15,            0.079009,            0.026238,                   0,                   0,                   0,                   0,                   0,                   0,            0.012464,                   0,            0.071947,           0.0029465,           0.0029465
                  16,              0.0774,            0.030135,                   0,                   0,                   0,                   0,                   0,                   0,            0.011955,                   0,            0.070126,           0.0031258,           0.0031258
                  17,            0.069069,            0.026071,                   0,                   0,                   0,                   0,                   0,                   0,            0.011478,                   0,            0.068304,           0.0033037,           0.0033037
                  18,            0.066722,            0.024177,                   0,                   0,                   0,                   0,                   0,                   0,            0.011074,                   0,             0.06648,           0.0034802,           0.0034802
                  19,            0.074063,             0.02504,                   0,                   0,                   0,                   0,                   0,                   0,            0.010698,                   0,            0.064655,           0.0036555,           0.0036555
                  20,            0.073833,            0.026221,                   0,                   0,                   0,                   0,                   0,                   0,            0.010327,                   0,            0.062829,           0.0038294,           0.0038294
                  21,            0.066722,            0.021318,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099948,                   0,            0.061002,            0.004002,            0.004002
                  22,            0.063292,            0.021977,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097203,                   0,            0.059173,           0.0041733,           0.0041733
                  23,            0.066523,            0.026134,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094909,                   0,            0.057343,           0.0043433,           0.0043433
                  24,            0.065949,            0.024977,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094113,                   0,            0.055512,           0.0045119,           0.0045119
                  25,            0.057361,            0.018228,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089997,                   0,            0.053679,           0.0046793,           0.0046793
                  26,            0.073903,            0.018656,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085596,                   0,            0.051845,           0.0048453,           0.0048453
                  27,            0.063991,              0.0258,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085596,                   0,             0.05001,             0.00501,             0.00501
                  28,            0.063999,            0.024359,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081039,                   0,            0.048173,           0.0051733,           0.0051733
                  29,            0.072147,            0.027434,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077258,                   0,            0.046335,           0.0053354,           0.0053354
                  30,            0.067768,            0.020677,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077258,                   0,            0.044496,           0.0054961,           0.0054961
